name,url,source
36 Jardine's Bazaar渣甸街36號,/building/36-jardine-s-bazaar/854,direct_link
369 Hennessy Road軒尼詩道369號,/building/369-hennessy-road/17762,direct_link
38 Plaza38廣場,/building/38-plaza/15051,direct_link
382 Lockhart Road駱克道382號,/building/382-lockhart-road/982,direct_link
383 King's Road英皇道383號,/building/383-king-s-road/1793,direct_link
39 King's Road英皇道39號,/building/39-king-s-road/17298,direct_link
4-6 On Wo Lane安和里4-6號,/building/4-6-on-wo-lane/9227,direct_link
40 Stanley Street士丹利街40號,/building/40-stanley-street/2034,direct_link
41 Heung Yip Road香葉道41號,/building/41-heung-yip-road/11521,direct_link
43-49A Hankow Road漢口道43-49A號,/building/43-49a-hankow-road/3423,direct_link
46 Lyndhurst Terrace擺花街46號,/building/46-lyndhurst-terrace/3731,direct_link
49-51 Kimberley Road金巴利道49-51號,/building/49-51-kimberley-road/17748,direct_link
52 Hung To Road鴻圖道52號,/building/52-hung-to-road/4727,direct_link
562 Nathan Road彌敦道562號,/building/562-nathan-road/3049,direct_link
58 Wing Lok Street永樂街58號,/building/58-wing-lok-street/17431,direct_link
59 Wing Lok Street永樂街59號,/building/59-wing-lok-street/2486,direct_link
6 Wilmer Street威利麻街6號,/building/6-wilmer-street/6174,direct_link
60 Wellington Street威靈頓街60號,/building/60-wellington-street/1252,direct_link
633 King's Road英皇道633號,/building/633-king-s-road/1683,direct_link
64-70 Wellington Street威靈頓街64-70號,/building/64-70-wellington-street/17755,direct_link
655 Nathan Road彌敦道655號,/building/655-nathan-road/2957,direct_link
68 Kimberley Road金巴利道68號,/building/68-kimberley-road/6537,direct_link
68 Yee Wo Street怡和街68號,/building/68-yee-wo-street/1621,direct_link
700 Nathan Road彌敦道700號,/building/700-nathan-road/3069,direct_link
726 Nathan Road彌敦道726號,/building/726-nathan-road/2848,direct_link
73-75 Hoi Yuen Road開源道73-75號,/building/73-75-hoi-yuen-road/5606,direct_link
76 Wellington Street威靈頓街76號,/building/76-wellington-street/1260,direct_link
8 Gilman's Bazaar機利文新街8號,/building/8-gilman-s-bazaar/5647,direct_link
8 Hart Avenue赫德道8號,/building/8-hart-avenue/6636,direct_link
8 Jordan Road佐敦道8號,/building/8-jordan-road/3549,direct_link
8 Lyndhurst Terrace擺花街8號,/building/8-lyndhurst-terrace/3728,direct_link
8 Observatory Road天文臺道8號,/building/8-observatory-road/12274,direct_link
8 On Wo Lane安和里8號,/building/8-on-wo-lane/9228,direct_link
8 Queen's Road Central皇后大道中8號,/building/8-queen-s-road-central/170,direct_link
8 Queen's Road East皇后大道東8號,/building/8-queen-s-road-east/322,direct_link
8 Wyndham Street雲咸街8號,/building/8-wyndham-street/1974,direct_link
80 Gloucester Road告士打道80號,/building/80-gloucester-road/1167,direct_link
83 King Lam Street - Tower A瓊林街83號 - A座,/building/83-king-lam-street-tower-a/17684,direct_link
83 King Lam Street - Tower B瓊林街83號 - B座,/building/83-king-lam-street-tower-b/17685,direct_link
83 Wan Chai Road灣仔道83號,/building/83-wan-chai-road/2247,direct_link
83 Wing Hong Street永康街83號,/building/83-wing-hong-street/17686,direct_link
88 Commercial Building東成商業大廈,/building/88-commercial-building/2534,direct_link
88 Gloucester Road告士打道88號,/building/88-gloucester-road/1156,direct_link
88 Hing Fat Street興發街88號,/building/88-hing-fat-street/1844,direct_link
88 Lockhart Road駱克道88號,/building/88-lockhart-road/1002,direct_link
88WL永樂街88號,/building/88wl/17558,direct_link
