name,url,property_type,source
298 Computer Zone298電腦特區,/building/298-computer-zone/1309,shop,direct_link
299QRC,/building/299qrc/156,shop,direct_link
2W Sai Yeung Choi Street South西洋菜南街2W號,/building/2w-sai-yeung-choi-street-south/7319,shop,direct_link
3 Lockhart Road駱克道3號,/building/3-lockhart-road/966,shop,direct_link
3-4 Li Yuen Street East利源東街3-4號,/building/3-4-li-yuen-street-east/5662,shop,direct_link
30 Hollywood Road荷李活道30號,/building/30-hollywood-road/3676,shop,direct_link
30 Hung To Road鴻圖道30號,/building/30-hung-to-road/17380,shop,direct_link
30 Wellington Street威靈頓街30號,/building/30-wellington-street/1230,shop,direct_link
313 Lockhart Road駱克道313號,/building/313-lockhart-road/1026,shop,direct_link
31C-D Wyndham Street雲咸街31C-D號,/building/31c-d-wyndham-street/1993,shop,direct_link
321-323 Queen's Road Central皇后大道中321-323號,/building/321-323-queen-s-road-central/203,shop,direct_link
33 Des Voeux Road Central德輔道中33號,/building/33-des-voeux-road-central/84,shop,direct_link
33 Des Voeux Road West德輔道西33號,/building/33-des-voeux-road-west/838,shop,direct_link
33 Wyndham Street雲咸街33號,/building/33-wyndham-street/653,shop,direct_link
333 Hennessy軒尼詩道333號,/building/333-hennessy/17495,shop,direct_link
35 QRC金利豐中心,/building/35-qrc/230,shop,direct_link
35-37 Cameron Road金馬倫道35-37號,/building/35-37-cameron-road/17713,shop,direct_link
36 Jardine's Bazaar渣甸街36號,/building/36-jardine-s-bazaar/854,shop,direct_link
36 Pottinger Street砵典乍街36號,/building/36-pottinger-street/2132,shop,direct_link
369 Hennessy Road軒尼詩道369號,/building/369-hennessy-road/17762,shop,direct_link
37-39 Carnarvon Road加拿分道37-39號,/building/37-39-carnarvon-road/5685,shop,direct_link
38 Plaza38廣場,/building/38-plaza/15051,shop,direct_link
38-40 Jardine's Bazaar渣甸街38-40號,/building/38-40-jardine-s-bazaar/866,shop,direct_link
382 Lockhart Road駱克道382號,/building/382-lockhart-road/982,shop,direct_link
383 King's Road英皇道383號,/building/383-king-s-road/1793,shop,direct_link
39 King's Road英皇道39號,/building/39-king-s-road/17298,shop,direct_link
4 Pottinger Street砵典乍街4號,/building/4-pottinger-street/2136,shop,direct_link
4-6 On Wo Lane安和里4-6號,/building/4-6-on-wo-lane/9227,shop,direct_link
40 Stanley Street士丹利街40號,/building/40-stanley-street/2034,shop,direct_link
41 Smithfield Road士美菲路41號,/building/41-smithfield-road/17779,shop,direct_link
42-44 Jardine's Bazaar渣甸街 42-44號,/building/42-44-jardine-s-bazaar/856,shop,direct_link
44 Kimberley Road金巴利道44號,/building/44-kimberley-road/17632,shop,direct_link
46 Lyndhurst Terrace擺花街46號,/building/46-lyndhurst-terrace/3731,shop,direct_link
49-51 Kimberley Road金巴利道49-51號,/building/49-51-kimberley-road/17748,shop,direct_link
50 Kimberley Road金巴利道50號,/building/50-kimberley-road/6541,shop,direct_link
51 Wellington Street威靈頓街51號,/building/51-wellington-street/1263,shop,direct_link
