subdistrict_code,parent_district_id,parent_district_name,subdistrict_name,sort_order
130ND30017,53ND30007,Tin Shui Wai,Tin Shui Wai,104
130ND30018,53ND30007,Tin Shui Wai,Lau Fau Shan,105
130ND30019,53ND30008,Hung Shui Kiu,South Hung Shui Kiu New Development,106
130ND30020,53ND30008,Hung Shui Kiu,North Hung Shui Kiu New Development,107
130ND30021,53ND30009,Palm Springs / Fairview,Palm Springs / Fairview,108
130ND30022,53ND30010,Sheung Shui / Fanling / Kwu Tung,Kwu Tung,109
130ND30023,53ND30010,Sheung Shui / Fanling / Kwu Tung,Fanling / Fanling North / Sha Tau Kok / Ta Ku Ling,110
130ND30024,53ND30010,Sheung Shui / Fanling / Kwu Tung,Sheung Shui,111
130ND30044,53ND30010,Sheung Shui / Fanling / Kwu Tung,Northern Lux. Res.,131
130ND30025,53ND30011,Shatin,Shatin Town Centre,112
130ND30026,53ND30011,Shatin,Siu Lek Yuen,113
130ND30027,53ND30011,Shatin,City One / Shek Mun,114
130ND30028,53ND30012,Ma On Shan,Wu Kai Sha,115
130ND30029,53ND30012,Ma On Shan,Ma On Shan,116
130ND30030,53ND30013,Tai Wai,Tai Wai Mid-Levels,117
130ND30031,53ND30013,Tai Wai,Tai Wai,118
130ND30032,53ND30014,Fo Tan / Kau To Shan,Fo Tan,119
130ND30033,53ND30014,Fo Tan / Kau To Shan,Kau To Shan,120
130ND30034,53ND30015,Tai Po,Tai Po Town Centre,121
130ND30035,53ND30015,Tai Po,Tai Po Market / Tai Wo,122
130ND30036,53ND30016,Tai Po Lux. Res. / Pak Shek Kok,Hong Lok Yuen,123
130ND30037,53ND30016,Tai Po Lux. Res. / Pak Shek Kok,Pak Shek Kok,124
130ND30038,53ND30016,Tai Po Lux. Res. / Pak Shek Kok,Tai Po Mid-Levels,125
130ND30039,53ND30016,Tai Po Lux. Res. / Pak Shek Kok,Ting Kok Road Lux. Res.,126
130ND30040,53ND30017,Lantau Island / Discovery Bay,Discovery Bay,127
130ND30041,53ND30017,Lantau Island / Discovery Bay,South Lantau Island,128
130ND30042,53ND30017,Lantau Island / Discovery Bay,Other Islands,129
130ND30043,53ND30018,Tung Chung,Tung Chung,130
