Building Name,Address,Detail URL
Sunbeam Plaza,1155 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000023620/Sunbeam-Plaza
Tai Chi Fty Bldg,25-29 Kok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000023708/Tai-Chi-Fty-Bldg
The Bedford,91-93 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000076248/The-Bedford
The Cloud,111 Tung Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000093379/The-Cloud
Two Bedford Place,必發道75號,https://www.midlandici.com.hk/ics/property/building/details/B000121963/Two-Bedford-Place
Wah Yuen Fty Bldg,15-21 Beech Street,https://www.midlandici.com.hk/ics/property/building/details/B000024652/Wah-Yuen-Fty-Bldg
Wai Yick Ind Bldg,99-101 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000024694/Wai-Yick-Ind-Bldg
Walnut 9,9 Walnut Street,https://www.midlandici.com.hk/ics/property/building/details/B000087056/Walnut-9
Wang Yip Ind Bldg,1 Elm Street,https://www.midlandici.com.hk/ics/property/building/details/B000024775/Wang-Yip-Ind-Bldg
Wing Gar Fty Bldg,87 Larch Street,https://www.midlandici.com.hk/ics/property/building/details/B000024930/Wing-Gar-Fty-Bldg
Worldwide Centre,123 Tung Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000059583/Worldwide-Centre
Yee Lee Bldg,131-133 Tung Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000059585/Yee-Lee-Bldg
822 Lai Chi Kok Road,822 Lai Chi Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000055077/822-Lai-Chi-Kok-Road
9 Wing Hong St,9 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007904/9-Wing-Hong-St
Centre 600,82 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000007239/Centre-600
Ceo Tower,77 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000068495/Ceo-Tower
Charm Ctr,700 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007240/Charm-Ctr
China United Plaza,1008 Tai Nan West Street,https://www.midlandici.com.hk/ics/property/building/details/B000007241/China-United-Plaza
Cre Ctr,889 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007243/Cre-Ctr
D2 Place 2,15 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000055082/D2-Place-2
Dragon Ind Bldg,93 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000007244/Dragon-Ind-Bldg
Elite Ind Ctr,883 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007245/Elite-Ind-Ctr
Fashion Ctr,51-53 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007935/Fashion-Ctr
Fast Ind Bldg,658 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000019099/Fast-Ind-Bldg
Ford Glory Plaza,37-39 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000020382/Ford-Glory-Plaza
Fung Wah Factory Building,646-648a Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000019358/Fung-Wah-Factory-Building
Garment Ctr,576-586 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000019390/Garment-Ctr
Global Gateway Tower,63 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000079730/Global-Gateway-Tower
Grandion Plaza,932 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000068661/Grandion-Plaza
