transaction_name,matched_building_name,match_score
Emperor Hollywood Centre ,Emperor Group Centre,82.35294117647058
Tung Ning Building ,Tai Tung Building,86.66666666666667
Harbour Commercial Building ,Witty Commercial Building,86.36363636363636
Wing Tuck Commercial Centre ,Wing On Centre,88.0
Wayson Commercial Building ,Wayson Commercial Building,100.0
Western Centre ,Eastern Centre,85.71428571428571
Wing Hang Insurance Building ,Wing Fai Building,86.66666666666667
Golden Sun Centre ,Golden Centre,100.0
Wing Tat Commercial Building ,Wing Fai Building,86.66666666666667
Fung Lok Commercial Building ,Witty Commercial Building,86.36363636363636
88 Commercial Building ,Prosperous Commercial Building,92.6829268292683
Centre Mark II ,Metro Centre II,82.75862068965517
Chao's Building ,China Building,82.75862068965517
Kai Wah Bldg. ,Koon Wah Mirror Fty (6th) Ind. Bldg. 2,81.81818181818181
Finance Building ,Guangdong Finance Building,100.0
HK Trade Centre ,HK Trade Centre,100.0
"Shun Tak Centre, China Merchants Tower ","Shun Tak Centre, China Merchants Tower",100.0
Willy Commercial Building ,Witty Commercial Building,92.0
Wui Tat Centre ,On Wui Centre,86.95652173913044
Nam Wo Hong Building ,Nam Wo Hong Building,100.0
6 Wilmer Street ,6 Wilmer Street,100.0
Lucky Commercial Centre ,Boss Commercial Centre,87.17948717948718
Wing Cheong Commercial Building ,Chung Wai Commercial Building,90.0
Kin On Comm Building ,Bcc Building,80.0
Yick Fung Building ,Yick Fung Group Building,100.0
Hoi Kiu Commercial Building ,Chung Kiu Commercial Building,92.0
Loon Kee Building ,Kee Wah Industrial Building,82.75862068965517
Western Commercial Building ,Wayson Commercial Building,86.79245283018868
Tung Hip Commercial Building ,Tung Hip Commercial Building,100.0
The L. Plaza (QRC) ,The L. Plaza (QRC),100.0
Seaview Commercial Building ,Witty Commercial Building,86.36363636363636
Teda Building ,Ocean Building,81.48148148148148
Casey Building ,Bcc Building,80.0
Shiu Fung Hong Building ,Bcc Building,80.0
Mw Tower ,TML Tower,82.35294117647058
Shing Hing Commercial Building ,Fuk Shing Commercial Building,92.5925925925926
Yat Chau Building ,Kar Chau Industrial Building,86.66666666666667
Enterprise Building ,Bcc Building,80.0
Alliance Building ,Alliance Building,100.0
Fu Fai Commercial Centre ,Boss Commercial Centre,87.17948717948718
308 Central Des Voeux ,308 Central Des Voeux,100.0
Hong Kong Jewellery Building ,The Hong Kong Club Building,80.0
Hing Lung Commercial Building ,Tung Hip Commercial Building,91.2280701754386
Kai Fung Building,Kai It Building,88.88888888888889
Yardley Commercial Building ,Yardley Commercial Building,100.0
Winfull Commercial Building ,Witty Commercial Building,86.36363636363636
Eton Building ,Eltee Building,81.48148148148148
Kam Sang Building ,Wah Sang Industrial Building Block A,86.66666666666667
West Exchange Tower ,Exchange Tower,100.0
Wing Hing Comm. Building ,Yue Hing Building,86.66666666666667
Full View Building ,Bcc Building,80.0
Uwa Building ,Man Foong Industrial Building,80.0
Champion Building ,Champion Building,100.0
Infinitus Plaza ,Infinitus Plaza,100.0
Queen's Tower ,Sung's Tower,80.0
Guangdong Finance Building ,Guangdong Finance Building,100.0
Wing On Cheong Building ,Cheong Lee Building,88.23529411764706
119 Wing Lok Street ,9 Wing Hong Street,81.08108108108108
Tung Lee Commercial Building ,Tung Lee Building,100.0
Arion Commercial Centre ,Arion Commercial Centre,100.0
Kwong Fat Hong Building ,Bcc Building,80.0
128 Connaught Road Central ,128 Connaught Road Central,100.0
Wing Yee Commercial Building ,Wing Fai Building,86.66666666666667
Guangdong Investment Tower ,Guangdong Investment Tower,100.0
Po Yick Building ,Cheung Yick Industrial Building,89.65517241379311
Gee Tuck Building ,Gee Tung Chang Industrial Building,82.75862068965517
Bangkok Bank Building ,Bangkok Bank Building,100.0
235 Wing Lok Street Trade Centre ,HK Trade Centre,88.88888888888889
Lee Man Commercial Building ,Witty Commercial Building,86.36363636363636
Blissful Building ,Bcc Building,80.0
Yau Sing Building ,Yue Hing Building,88.23529411764706
181 Queen's Road Central ,181 Queen's Road Central,100.0
"Tern Centre, Tower 1 ","Lippo Centre, Tower 1",85.71428571428571
Chun Wo Commercial Centre ,Boss Commercial Centre,87.17948717948718
Xiu Ping Comm. Building ,Yue Xiu Building,85.71428571428571
Hing Tai Commercial Building ,Tai Shing Commercial (Yaumati) Building,90.19607843137254
Chu Kong Shipping Tower ,Chu Kong Shipping Tower,100.0
Wing On Centre ,Wing On Centre,100.0
Hing Yip Commercial Centre ,Boss Commercial Centre,87.17948717948718
Tung Kwong Building ,Tai Tung Building,86.66666666666667
Tung Sang Commercial Building ,Tung Hip Commercial Building,92.3076923076923
Midland Centre,Mita Centre,80.0
Suen Yue Building ,Yue Xiu Building,85.71428571428571
Well View Commercial Building ,Witty Commercial Building,86.36363636363636
Hang Lok Building - Wing Lok Street ,Wing Fai Building,86.66666666666667
Hillier Building,Bcc Building,80.0
Man Lok Building ,Man Foong Industrial Building,85.71428571428571
Li Po Chun Chambers ,Li Po Chun Chambers,100.0
135 Bonham Strand Trade Centre ,HK Trade Centre,88.88888888888889
Cnt Commercial Building ,Prosperous Commercial Building,90.47619047619048
Hang Cheong Tai Building ,Hang Cheong Factory Building,90.9090909090909
Foundation Building,Bcc Building,80.0
Tai Shing Building ,Tai Shing Industrial Building,100.0
Wah Koon Building,Koon Wah Building,100.0
Hong Kong & Macau Building ,Hong Kong (Chai Wan) Industrial Building,81.81818181818181
1 Des Voeux Road West ,9 Des Voeux Road West,95.23809523809524
Richmake Commercial Building ,Richmond Commercial Building,89.28571428571429
Nan Fung Tower ,Nan Fung Tower,100.0
"Tern Centre, Tower 2 ","Lippo Centre, Tower 2",85.71428571428571
Tern Centre Tower 2,Admiralty Centre Tower 2,84.84848484848484
Wing Fu Building ,Wing Fai Building,90.9090909090909
Shing Lee Commercial Building ,Tai Shing Commercial (Yaumati) Building,92.5925925925926
Cheungs Building ,China Building,80.0
So Hong Commercial Building ,Witty Commercial Building,86.36363636363636
Si Toi Commercial Building ,Witty Commercial Building,86.36363636363636
San Toi Building ,San Miguel Industrial Building,85.71428571428571
Tai King Building ,Tai King Industrial Building,100.0
Central House ,Cnt House,81.81818181818181
Hillier Commercial Building ,Witty Commercial Building,86.36363636363636
Harvest Building ,Golden Harvest Building,100.0
Golden Centre ,Golden Centre,100.0
Demolished-Des Voeux Commercial Centre ,Boss Commercial Centre,87.17948717948718
Wah Kit Commercial Centre ,K Wah Centre,90.9090909090909
Lin Wai Building ,Po Wai Building,88.88888888888889
Nan Dao Commercial Building ,Wayson Commercial Building,86.79245283018868
Wing Shing House ,Wing On House,86.95652173913044
Goldfield Building ,Goldfield Industrial Building II,100.0
9 Des Voeux Road West ,9 Des Voeux Road West,100.0
Wah Yuen Building,Tong Yuen Factory Building,86.66666666666667
Unionway Commercial Centre,Boss Commercial Centre,87.17948717948718
Lop Po Building ,Po Chai Industrial Building,84.61538461538461
Rice Merchants Building ,Bcc Building,80.0
Des Voeux Commercial Building,Witty Commercial Building,86.36363636363636
Cheong Tai Commercial Building(SW) ,Chung Wai Commercial Building,85.71428571428571
Ha Lung Building ,Ha Lung Industrial Building,100.0
Kamcourt Building,Paramount Building,80.0
Sam Cheong Building,Cheong Lee Building,88.23529411764706
Welland Building ,Ocean Building,80.0
Wing Sing Commercial Centre ,Wing On Centre,88.0
277 Des Voeux Road Central ,308 Central Des Voeux,89.47368421052632
Amtel Building ,Bcc Building,80.0
Gold Union Commercial Building ,Witty Commercial Building,86.36363636363636
Lee Kee Commercial Building ,Witty Commercial Building,86.36363636363636
Wah Hei Building ,Wing Wah Industrial Building (QB),85.71428571428571
Hing Lee Building ,Yue Hing Building,88.23529411764706
Heep Kee Commercial Building ,Witty Commercial Building,86.36363636363636
Teng Fu Commercial Building ,Fuk Shing Commercial Building,89.28571428571429
Pong Fai Building,Wing Fai Building,88.23529411764706
Kong Ling Building ,Hong Kong (Chai Wan) Industrial Building,83.87096774193549
Wing Shun Building,Wing Fai Building,86.66666666666667
Princeton Tower,Prince Tower,88.88888888888889
Friendship Comm. Building ,Bcc Building,80.0
Tai Wong Commercial Building ,Tai Shing Commercial (Yaumati) Building,90.19607843137254
114 Des Voeux Road West ,9 Des Voeux Road West,95.0
Kingdom Power Commercial Building,Witty Commercial Building,86.36363636363636
Kam Bong Building ,Kam Man Fung Factory Building,82.75862068965517
Bonham Centre ,Charm Centre,80.0
Kam Hong Building,Hong Kong (Chai Wan) Industrial Building,86.66666666666667
Cheong Loong Building ,Cheong Lee Building,88.23529411764706
Hang Fat Building ,Hang Fat Industrial Building (Demolished),100.0
Demolished-Foo Cheung Building ,Bcc Building,80.0
Hong Kong Trade Centre,HK Trade Centre,88.88888888888889
Everprofit Commercial Building ,Witty Commercial Building,86.36363636363636
Demolished-Shun Lee Commercial Building ,Witty Commercial Building,86.36363636363636
Demolished-China Merchants Building ,Bcc Building,80.0
Kam Tak Building ,Tak King Industrial Building,85.71428571428571
Wing Fat Building ,Wing Fat Industrial Building,100.0
Senfat Building ,Bcc Building,80.0
Ka On Building ,Chung On Industrial Building,88.0
Parklane Building ,Park Sun Building,82.35294117647058
Talon Tower ,Saxon Tower,81.81818181818181
Wah Yuen Building ,Tong Yuen Factory Building,86.66666666666667
Gold & Silver Commercial Building ,Witty Commercial Building,86.36363636363636
Fung Sang Trading Building ,Bcc Building,80.0
Chuk On Building ,Chung On Industrial Building,81.48148148148148
Tin Chak Building ,China Building,83.87096774193549
Kiu Fat Building ,Luen Fat Loong Factory Building,85.71428571428571
Hing Loong Building ,Sze Hing Loong Industrial Building,100.0
Marble Building ,Bcc Building,80.0
Foo Sang Building ,Wah Sang Industrial Building Block A,86.66666666666667
Universal Building ,Universal Industrial Building,100.0
Demolished-Kong Tak Building ,Bcc Building,80.0
Wing Fai Bldg ,Wing Fai Building,86.66666666666667
148 Wing Lok Street,24-28 Wing Lap Street,80.0
3 Connaught Road West,128 Connaught Road Central,80.0
China Merchants Bldg Des Voeux Road Central,308 Central Des Voeux,89.47368421052632
394-400 Des Voeux Road West,9 Des Voeux Road West,95.0
26-30 Des Voeux Road West,9 Des Voeux Road West,95.0
124 Wing Lok Street,24-28 Wing Lap Street,80.0
225 Des Voeux Road West,9 Des Voeux Road West,95.0
78 Des Voeux Road West,9 Des Voeux Road West,95.0
333 Des Voeux Road West,9 Des Voeux Road West,95.0
Luen Wah Building Li Sing Street,Koon Wah Building,82.75862068965517
118 Des Voeux Road West,9 Des Voeux Road West,95.0
Chun Yin House Des Voeux Road Central,308 Central Des Voeux,89.47368421052632
Yat Chau Building Des Voeux Road Central,308 Central Des Voeux,89.47368421052632
Winbase Centre Queen's Road Central,8 Queen's Road Central,95.23809523809524
19-21 Wilmer Street,6 Wilmer Street,92.85714285714286
456-462 Des Voeux Road West,9 Des Voeux Road West,95.0
103-109 Des Voeux Road West,9 Des Voeux Road West,95.0
45 Des Voeux Road West,9 Des Voeux Road West,95.0
89 Des Voeux Road West,9 Des Voeux Road West,97.67441860465117
Wah Ying Commercial Building Queen's Road West,Witty Commercial Building,86.36363636363636
Infinitus Plaza Des Voeux Road Central,Infinitus Plaza,100.0
227 Wing Lok Street,24-28 Wing Lap Street,80.0
199 Des Voeux Road West,9 Des Voeux Road West,95.45454545454545
31 Des Voeux Road West,9 Des Voeux Road West,95.0
Southmark Pacific Link Tower (Tower A),Southmark Pacific Link Tower (Tower A),100.0
One Island South,One Island South,100.0
South Island Place,South Island Place,100.0
Derrick Industrial Building,Derrick Industrial Building,100.0
Gee Chang Hong Centre,Gee Chang Hong Centre,100.0
The Factory,The Factory,100.0
Hundsun International Center,Hundsun International Center,100.0
MARINA 8,MARINA 8,100.0
Harbour Industrial Centre,Harbour Industrial Centre,100.0
Kingley Industrial Building 2,Kingley Industrial Building 2,100.0
Kwai Bo Industrial Building,Kwai Bo Industrial Building,100.0
Kingley Industrial Building 1,Kingley Industrial Building 1,100.0
Heung Wah Industrial Building,Heung Wah Industrial Building,100.0
Genesis,Genesis,100.0
Hing Wai Centre,Hing Wai Centre,100.0
Leader Industrial Building,Leader Industrial Building,100.0
W50,W50,100.0
Yally Industrial Building,Yally Industrial Building,100.0
Yan's Tower,Yan's Tower,100.0
41 Heung Yip Road,41 Heung Yip Road,100.0
Southmark Tower B,Southmark Tower B,100.0
Sing Teck Factory Building,Sing Teck Factory Building,100.0
Vita Tower,Vita Tower,100.0
Viva Place,M Place,83.33333333333333
Evergreen Industrial Mansion,Evergreen Industrial Mansion,100.0
Global Trade Square,Global Trade Square,100.0
E Tat Factory Building,E Tat Factory Building,100.0
Remex Centre,Remex Centre,100.0
Kin Teck Industrial Building,Kin Teck Industrial Building,100.0
Oceanic Industrial Centre,Oceanic Industrial Centre,100.0
Sungib Industrial Centre,Sungib Industrial Centre,100.0
Southmark Tower A,Southmark Tower B,94.11764705882354
Landmark South,Landmark North,85.71428571428571
Marina Square East Centre South Horizon Drive,Horizon East,100.0
One Island South Heung Yip Road,One Island South,100.0
Hundsun International Center Heung Yip Road,Hundsun International Center,100.0
E. Wah Factory Building,E. Wah Factory Building,100.0
Sun Hing Industrial Building (WCH),Sun Hing Industrial Building (WCH),100.0
Axa Southside,Axa Southside,100.0
Grand Marine Centre,Grand Marine Centre,100.0
Horizon Plaza,Horizon Plaza,100.0
Rykadan One Wong Chuk Hang Road,45 Wong Chuk Hang Road,92.6829268292683
The Hub,The Bay Hub,100.0
E Tat Factory Building Heung Yip Road,E Tat Factory Building,100.0
Vertical Sq,Vertical Sq,100.0
Ap Lei Chau Motor Services Building,Bcc Building,80.0
Tin Fung Industrial Mansion,Tin Fung Industrial Mansion,100.0
Victory Factory Building,Victory Factory Building,100.0
Ha Lung Industrial Building,Ha Lung Industrial Building,100.0
Shui Ki Industrial Building,Shui Ki Industrial Building,100.0
M Place,M Place,100.0
Union Industrial Building (WCH),Union Industrial Building (WCH),100.0
Cheung Tak Industrial Building,Cheung Tak Industrial Building,100.0
23 Wong Chuk Hang Road,45 Wong Chuk Hang Road,92.6829268292683
United Factory Building,United Factory Building,100.0
Sun Ying Industrial Centre,Sun Ying Industrial Centre,100.0
Wah Kwai Shopping Centre Wah Kwai Road,K Wah Centre,90.9090909090909
Coda Designer Centre,Coda Designer Centre,100.0
Po Chai Industrial Building,Po Chai Industrial Building,100.0
Casey Aberdeen House,Casey Aberdeen House,100.0
Benefit Industrial Factory Building,Yiko Industrial Building,88.37209302325581
TS Tower,TML Tower,82.35294117647058
Kingsun Computer Industrial Building,Kingsun Computer Industrial Building,100.0
Genesis Wong Chuk Hang Road,Genesis,100.0
Lee Fund Centre,Lee Fund Centre,100.0
Hing Wai Ice And Cold Storage Building,Po Wai Building,88.88888888888889
Blue Box Factory Building,Blue Box Factory Building,100.0
Gee Luen Hing Industrial Building,Gee Luen Hing Industrial Building,100.0
54 Wong Chuk Hang Road,45 Wong Chuk Hang Road,95.45454545454545
South Island Place ,South Island Place,100.0
28 Wong Chuk Hang Road,45 Wong Chuk Hang Road,92.6829268292683
The Hub ,The Bay Hub,100.0
Axa Southside ,Axa Southside,100.0
W50 ,W50,100.0
Casey Aberdeen House ,Casey Aberdeen House,100.0
Southmark Tower B ,Southmark Tower B,100.0
Vertical Sq ,Vertical Sq,100.0
Southmark Pacific Link Tower (Tower A) ,Southmark Pacific Link Tower (Tower A),100.0
Global Trade Square ,Global Trade Square,100.0
Union Industrial Building,Union Industrial Building (WCH),100.0
One Island South ,One Island South,100.0
Evergreen Ind Mansion,Evergreen Industrial Mansion,89.47368421052632
E Wah Factory Building,E. Wah Factory Building,97.77777777777777
Genesis ,Genesis,100.0
Wah Kwai Shopping Centre,K Wah Centre,90.9090909090909
Kingsun Computer Ind Bldg,Kingsun Computer Industrial Building,81.9672131147541
41 Heung Yip Road ,41 Heung Yip Road,100.0
Lei Tung Commercial Centre,Boss Commercial Centre,87.17948717948718
Yee On Building (HK),Man Yee Building,85.71428571428571
Ning Fung Mansion,Tin Fung Industrial Mansion,82.75862068965517
United Industrial Building,Honfield Industrial Building,88.88888888888889
Reliance Manufactory Building (Redevelop),Bcc Building,80.0
E On Industrial Building (Redevelop),On Ho Industrial Building,93.61702127659575
Man Hing Industrial Centre,Hong Man Industrial Centre,96.15384615384616
Express Industrial Building (Redeveloperd),Yiko Industrial Building,88.37209302325581
38 SOUTHSIDE Wong Chuk Hang Road,45 Wong Chuk Hang Road,92.6829268292683
Officeplus @Wan Chai,Officeplus @Wan Chai,100.0
Sun Hung Kai Centre,Sun Hung Kai Centre,100.0
Tak Lee Commercial Building,Witty Commercial Building,86.36363636363636
Tai Yau Building,Tai Yau Building,100.0
Yue Xiu Building,Yue Xiu Building,100.0
Kai Kwong Commercial Building,Kai It Building,88.88888888888889
Ping Lam Commercial Building,Witty Commercial Building,86.36363636363636
Capital Centre,Capital Centre,100.0
Sing-Ho Finance Building,Sing-Ho Finance Building,100.0
Easey Commercial Building,Yardley Commercial Building,88.46153846153847
China Overseas Building,China Building,100.0
Bayfield Building,Bcc Building,80.0
Kai Kwong Commercial Building Lockhart Road,Kai It Building,88.88888888888889
Plaza 228,38 Plaza,82.35294117647058
On Hong Commercial Building,Witty Commercial Building,86.36363636363636
Cnt Tower,Cnt Tower,100.0
Morrison Plaza,Horizon Plaza,81.48148148148148
Ka Nin Wah Commercial Building,Witty Commercial Building,86.36363636363636
Emperor Group Centre Hennessy Road,Emperor Group Centre,100.0
Bank Of East Asia Harbour View Centre,Harbour Centre,100.0
Emperor Group Centre,Emperor Group Centre,100.0
Central Plaza,Central Plaza,100.0
Kam Chung Building Jaffe Road,Kam Chung Factory Building,81.81818181818181
Siu Fung Building Tin Lok Lane,Bcc Building,80.0
Tai Tung Building,Tai Tung Building,100.0
Winner Commercial Building,Witty Commercial Building,86.36363636363636
Shui On Centre,Siu On Centre,88.88888888888889
Tung Chiu Commercial Centre,Boss Commercial Centre,87.17948717948718
Hopewell Centre,Hopewell Centre,100.0
Shun Feng International Centre,International Trade Centre,86.95652173913044
Wah Hen Commercial Centre,K Wah Centre,90.9090909090909
China Resources Building,China Building,100.0
Dah Sing Financial Centre,Dah Sing Financial Centre,100.0
Hung To Comm. Building,Long To Building,81.48148148148148
Perfect Commercial Building,Witty Commercial Building,86.36363636363636
Gaylord Commercial Building,Wayson Commercial Building,86.79245283018868
Shinyam Commercial Building,Witty Commercial Building,86.36363636363636
Jonsim Place,M Place,83.33333333333333
CKK Commercial Centre,Arion Commercial Centre,89.47368421052632
Harbour Centre,Harbour Industrial Centre,100.0
Wayson Commercial House,Wayson Commercial Building,85.0
Yue On Commercial Building,Witty Commercial Building,86.36363636363636
One Continental,Continental Electric Industrial Building,84.61538461538461
Pico Tower,Pico Tower,100.0
172 Johnston Road,Johnston Road,100.0
Office Tower - Convention Plaza,Office Tower - Convention Plaza,100.0
60 Johnston Road,Johnston Road,100.0
Thomson Commercial Building,Richmond Commercial Building,87.27272727272728
Keen Hung Commercial Building,Witty Commercial Building,86.36363636363636
Times Tower,"Times Square, Tower 2",100.0
Southern Commercial Building,Witty Commercial Building,86.36363636363636
Xiu Hua Commercial Building,Witty Commercial Building,86.36363636363636
129-135 Johnston Road,Johnston Road,100.0
Harcourt House,Harcourt House,100.0
YF Life Centre,YF Life Centre,100.0
One Capital Place,One Capital Place,100.0
Chinachem Johnston Plaza,Chinachem Johnston Plaza,100.0
Tung Wai Commercial Building,Chung Wai Commercial Building,94.73684210526315
Luk Kwok Centre,Luk Kwok Centre,100.0
Loyong Court Commercial Building,Witty Commercial Building,86.36363636363636
Allied Kajima Building,Bcc Building,80.0
Wah Hing Commercial Building,Chung Wai Commercial Building,87.71929824561403
United Asia Finance Centre,United Centre,100.0
Harvard Commercial Building,Witty Commercial Building,86.36363636363636
Great Eagle Centre,Great Eagle Centre,100.0
Hip Sang Building,Wah Sang Industrial Building Block A,86.66666666666667
Chinachem Century Tower,Chinachem Century Tower,100.0
Kiu Yin Commercial Building,Chung Kiu Commercial Building,92.0
Great Smart Tower,Great Smart Tower,100.0
On Loong Commercial Building,Witty Commercial Building,86.36363636363636
East Town Building,Golden Town Industrial Building,83.87096774193549
Henan Building,Ocean Building,85.71428571428571
Workingfield Commercial Building,Witty Commercial Building,86.36363636363636
Goodfit Commercial Building,Witty Commercial Building,86.36363636363636
94-102 Johnston Road,Johnston Road,100.0
Shiu Fung Commerical Building,Fuk Shing Commercial Building,86.20689655172414
Shiu Fung Commercial Building Johnston Road,Johnston Road,100.0
208 Johnston Road,Johnston Road,100.0
Heng Shan Centre,Yan Hing Centre,83.87096774193549
Morrison Commercial Building,Witty Commercial Building,86.36363636363636
The Sun's Group Centre,The Sun's Group Centre,100.0
FLK Tower,GF Tower,82.35294117647058
Sang Woo Building,Wah Sang Industrial Building Block A,86.66666666666667
YF Life Tower,YF Life Tower,100.0
Five Pacific Place,One Pacific Place,86.66666666666667
Wanchai Central Building,Bcc Building,80.0
Guardian House,Jardine House,81.48148148148148
Lee Cheong Building Wan Chai Road,Cheong Lee Building,100.0
Yam Tze Commercial Building,Witty Commercial Building,86.36363636363636
Wanchai Commercial Centre,Boss Commercial Centre,87.17948717948718
Overseas Trust Bank Building WC,China Overseas Building,85.0
Chinaweal Centre,Chinaweal Centre,100.0
Kam Chung Commercial Building,Chung Wai Commercial Building,93.10344827586206
Effectual Building,Bcc Building,80.0
Tien Chu Commercial Building,Chung Wai Commercial Building,87.71929824561403
C C Wu Building,Kwai Wu Industrial Building,91.66666666666667
Yue On Commercial Building Lockhart Road,Witty Commercial Building,86.36363636363636
Jie Yang Building,Bcc Building,80.0
Kin On Building Kennedy Street,Bcc Building,80.0
Shu Tak Building Tai Wong Street East,Tai Yau Building,85.71428571428571
Winsan Tower,Nina Tower,81.81818181818181
18 Johnston Road,Johnston Road,100.0
Kingswell Commercial Tower,Eight Commercial Tower,84.21052631578948
Chung Nam Building,Chung On Industrial Building,87.5
Weswick Commercial Building,Witty Commercial Building,86.36363636363636
151-155 Johnston Road,Johnston Road,100.0
Winner Commercial Building Lockhart Road,Witty Commercial Building,86.36363636363636
Golden Star Building,Golden Harvest Building,85.71428571428571
One Capital Place Luard Road,One Capital Place,100.0
Cnt House,Cnt House,100.0
Hong Kong Building Lockhart Road,The Hong Kong Club Building,80.0
Anton Building,Bcc Building,80.0
Shanghai Industrial Investment Building,Yiko Industrial Building,88.37209302325581
80 Gloucester Road,80 Gloucester Road,100.0
Bel Trade Commercial Building Burrows Street,Witty Commercial Building,86.36363636363636
Keen Hung Commercial Building Queen's Road East,Witty Commercial Building,86.36363636363636
176 Johnston Road,Johnston Road,100.0
Siu On Centre,Siu On Centre,100.0
Six Pacific Place,One Pacific Place,86.66666666666667
Henfa Commercial Building,Prosperous Commercial Building,86.36363636363636
Cli Building,China Building,84.61538461538461
Hong Kong Arts Centre,Po Hong Centre,88.0
Tai Yip Building,Tai Yau Building,87.5
141-147 Johnston Road,Johnston Road,100.0
Kam Fung Commercial Building,Chung Wai Commercial Building,87.71929824561403
25-33 Johnston Road,Johnston Road,100.0
Thomson Commercial Building Thomson Road,Witty Commercial Building,86.36363636363636
Chang Pao Ching Building,Bcc Building,80.0
160 Gloucester Road,80 Gloucester Road,91.89189189189189
77-79 Gloucester Road,80 Gloucester Road,90.9090909090909
Kam Chung Building,Kam Chung Factory Building,100.0
Tak Lee Commercial Building Wan Chai Road,Witty Commercial Building,86.36363636363636
United Success Comm. Centre Jaffe Road,United Centre,100.0
20-26 Johnston Road,Johnston Road,100.0
Ka Nin Wah Commercial Building Hennessy Road,Witty Commercial Building,86.36363636363636
Centre Point,East Point Centre,100.0
Success Commercial Building,Witty Commercial Building,86.36363636363636
FLK Tower Johnston Road,Johnston Road,100.0
Yue Hing Building,Yue Hing Building,100.0
Yue On Building Lockhart Road,Yue Xiu Building,85.71428571428571
Kam Shek Building Stone Nullah Lane,Bcc Building,80.0
2-12 Johnston Road,Johnston Road,100.0
Siu Fung Building,Kam Man Fung Factory Building,86.66666666666667
Amber Commercial Building,Prosperous Commercial Building,86.36363636363636
The Avenue Johnston Road,Johnston Road,100.0
74-80 Johnston Road,Johnston Road,100.0
C C Wu Building Hennessy Road,Bcc Building,80.0
Tai Wong Building Tai Wong Street East,Tai Yau Building,85.71428571428571
208-212 Johnston Road,Johnston Road,100.0
113 Johnston Road,Johnston Road,100.0
Winland Square,Winland Square,100.0
Kingpower Commercial Building,Witty Commercial Building,86.36363636363636
14-16 Johnston Road,Johnston Road,100.0
The Sun's Group Centre Gloucester Road,The Sun's Group Centre,100.0
Wan Chai Commercial Centre Johnston Road,Johnston Road,100.0
Capital Building - WC,Bcc Building,80.0
Chung Pont Commercial Building,Chung Wai Commercial Building,92.5925925925926
Fu Yuen,Fu Yuen Industrial Building,100.0
Caltex House,Chater House,83.33333333333333
Kuo Hwa Building,Bcc Building,80.0
Connaught Commercial Building,Witty Commercial Building,86.36363636363636
Yen Men Building,Man Yee Building,87.5
144 Johnston Road,Johnston Road,100.0
Luckifast Building Stone Nullah Lane,Bcc Building,80.0
Sing-Ho Finance Building Gloucester Road,Sing-Ho Finance Building,100.0
130-136 Johnston Road,Johnston Road,100.0
Morrison Commercial Building Morrison Hill Road,Witty Commercial Building,86.36363636363636
Yau Kwong Building Hennessy Road,Tai Yau Building,85.71428571428571
148 Johnston Road,Johnston Road,100.0
181-185 Gloucester Road,80 Gloucester Road,90.9090909090909
66 Gloucester Road,80 Gloucester Road,90.9090909090909
Opulent Building,Ocean Building,80.0
Simsons Commercial Building,Richmond Commercial Building,87.27272727272728
Shui On Centre Harbour Road,Harbour Centre,100.0
Shun Pont Commercial Building,Witty Commercial Building,86.36363636363636
East Point Centre Hennessy Road,East Point Centre,100.0
178 Gloucester Road,80 Gloucester Road,91.89189189189189
China Underwriters Centre Gloucester Road,80 Gloucester Road,90.9090909090909
38 Gloucester Road,80 Gloucester Road,94.44444444444444
Wai Bo Commercial Building Hennessy Road,Po Wai Building,88.88888888888889
Hang Wai Commercial Building,Chung Wai Commercial Building,91.2280701754386
88 Gloucester Road,88 Gloucester Road,100.0
150 Johnston Road,Johnston Road,100.0
Chuang's Enterprises Building Lockhart Road,Bcc Building,80.0
161-163 Johnston Road,Johnston Road,100.0
Luen Tai Building Wan Chai Road,Tai Yau Building,85.71428571428571
Great Eagle Centre Harbour Road,Harbour Centre,100.0
Kin Lee Building,Cheung Lee Industrial Building,85.71428571428571
Hong Fu Building Hennessy Road,Bcc Building,80.0
Tai Yip Building Thomson Road,Tai Yau Building,85.71428571428571
49 Johnston Road,Johnston Road,100.0
60 Gloucester Road,80 Gloucester Road,94.44444444444444
191-193 Johnston Road,Johnston Road,100.0
CKK Commercial Centre Hennessy Road,Boss Commercial Centre,87.17948717948718
39 Gloucester Road,80 Gloucester Road,90.9090909090909
116 Johnston Road,Johnston Road,100.0
Hang Wai Commercial Building Queen's Road East,Po Wai Building,88.88888888888889
Goodfit Commercial Building Fleming Road,Witty Commercial Building,86.36363636363636
36-42 Johnston Road,Johnston Road,100.0
Hang Shan Centre Queen's Road East,Hang Lung Centre,81.48148148148148
169 Gloucester Road,80 Gloucester Road,90.9090909090909
Yen Men Building Jaffe Road,Por Yen Building,85.71428571428571
124-128 Johnston Road,Johnston Road,100.0
56 Gloucester Road,80 Gloucester Road,90.9090909090909
211 Johnston Road,Johnston Road,100.0
35-45 Johnston Road,Johnston Road,100.0
Hin Wah Building Hennessy Road,Koon Wah Building,82.75862068965517
Jubilee Centre Gloucester Road,80 Gloucester Road,90.9090909090909
Universal House Gloucester Road,80 Gloucester Road,90.9090909090909
55-61 Johnston Road,Johnston Road,100.0
Malaysia Building,Bcc Building,80.0
178-186 Johnston Road,Johnston Road,100.0
Fu Kar Building Johnston Road,Johnston Road,100.0
50 Johnston Road,Johnston Road,100.0
