id,name,news_name,url_desc,buy_listing_url_desc,rent_listing_url_desc,photo,hos,first_op_date,icon,show,total_unit_count,total_block_count,primary_school_net,sm_district_id,sm_district_name,region_id,region_name,subregion_id,subregion_name,district_id,district_name,combined_district_id,combined_district_name,int_district_id,int_district_name,int_sm_district_id,int_sm_district_name,location_lat,location_lon,developer_name,property_stat_sell_count,property_stat_rent_count,market_stat_ft_price,market_stat_net_ft_price,market_stat_tx_count,market_stat_net_ft_price_chg,market_stat_pre_net_ft_price,market_stat_ft_price_chg,market_stat_pre_ft_price,market_stat_total_tx_amount,index_component_estate_net_ft_price,index_component_estate_net_ft_price_chg,parent_estate_id,parent_estate_name,market_stat_monthly,market_stat_monthly_1_date,market_stat_monthly_1_avg_net_ft_price,market_stat_monthly_2_date,market_stat_monthly_2_avg_net_ft_price,market_stat_monthly_3_date,market_stat_monthly_3_avg_net_ft_price,market_stat_monthly_4_date,market_stat_monthly_4_avg_net_ft_price,market_stat_monthly_5_date,market_stat_monthly_5_avg_net_ft_price,market_stat_monthly_6_date,market_stat_monthly_6_avg_net_ft_price,market_stat_monthly_7_date,market_stat_monthly_7_avg_net_ft_price,market_stat_monthly_8_date,market_stat_monthly_8_avg_net_ft_price,market_stat_monthly_9_date,market_stat_monthly_9_avg_net_ft_price,market_stat_monthly_10_date,market_stat_monthly_10_avg_net_ft_price,market_stat_monthly_11_date,market_stat_monthly_11_avg_net_ft_price
E09191,Wah Po Building,華寶大廈,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Wah-Po-Building-E09191,https://www.midland.com.hk/en/list/buy/Wah-Po-Building-E-E09191,https://www.midland.com.hk/en/list/rent/Wah-Po-Building-E-E09191,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE09191_0.jpg,False,1978-10-02T16:00:00.000Z,,True,192.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.283998,114.129196,,1.0,0.0,0.0,12285.0,1.0,-10.73,13762.0,0.0,0.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11410,Scholar Court,文豪花園,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Scholar-Court-E11410,https://www.midland.com.hk/en/list/buy/Scholar-Court-E-E11410,https://www.midland.com.hk/en/list/rent/Scholar-Court-E-E11410,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE11410_2.jpg,False,1998-09-03T16:00:00.000Z,,True,47.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.28227,114.130631,CHINA UNITED HOLDINGS,2.0,0.0,0.0,13494.0,0.0,0.0,13494.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000000250,Kwan Yick Building Phase 1,均益大廈,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Kwan-Yick-Building-Phase-1-P000000250,https://www.midland.com.hk/en/list/buy/Kwan-Yick-Building-Phase-1-P-P000000250,https://www.midland.com.hk/en/list/rent/Kwan-Yick-Building-Phase-1-P-P000000250,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE000000496_3.jpg,False,1974-02-11T16:00:00.000Z,video,True,924.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.286870999999998,114.13446,,2.0,0.0,0.0,9807.0,1.0,0.52,9757.0,0.0,0.0,3050000.0,,,E000000496,Kwan Yick Building,,,,,,,,,,,,,,,,,,,,,,,
E11942,Westview Height,聚賢逸居,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Westview-Height-E11942,https://www.midland.com.hk/en/list/buy/Westview-Height-E-E11942,https://www.midland.com.hk/en/list/rent/Westview-Height-E-E11942,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE11942_2.jpg,False,2000-04-05T16:00:00.000Z,,True,66.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.282566,114.12704,ASIA STANDARD GROUP,4.0,0.0,0.0,15152.0,0.0,0.0,15152.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E00798,No.1 Hee Wong Terrace,羲皇臺一號,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-No-1-Hee-Wong-Terrace-E00798,https://www.midland.com.hk/en/list/buy/No-1-Hee-Wong-Terrace-E-E00798,https://www.midland.com.hk/en/list/rent/No-1-Hee-Wong-Terrace-E-E00798,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE00798_3.jpg,False,1987-03-24T16:00:00.000Z,,True,188.0,12.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.282756,114.131179,,2.0,1.0,0.0,9435.0,0.0,0.0,9435.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E000010259,Jade Court,翡翠閣,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Jade-Court-E000010259,https://www.midland.com.hk/en/list/buy/Jade-Court-E-E000010259,https://www.midland.com.hk/en/list/rent/Jade-Court-E-E000010259,,False,1981-09-30T16:00:00.000Z,,True,300.0,2.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.283946999999998,114.13014,,4.0,0.0,0.0,12141.0,0.0,0.0,12141.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E00713,Pearl Court,珍珠閣,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Pearl-Court-E00713,https://www.midland.com.hk/en/list/buy/Pearl-Court-E-E00713,https://www.midland.com.hk/en/list/rent/Pearl-Court-E-E00713,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE00713_0.jpg,False,1980-01-06T16:00:00.000Z,,True,368.0,2.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.284489,114.131081,,3.0,0.0,0.0,11139.0,1.0,-11.58,12598.0,0.0,0.0,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01977,Chester Court,澤安閣,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Chester-Court-E01977,https://www.midland.com.hk/en/list/buy/Chester-Court-E-E01977,https://www.midland.com.hk/en/list/rent/Chester-Court-E-E01977,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE01977_5.jpg,False,1987-12-03T16:00:00.000Z,,True,138.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.286312,114.13228,,2.0,0.0,0.0,17172.0,0.0,0.0,17172.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08087,Sun Court,大新閣,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Sun-Court-E08087,https://www.midland.com.hk/en/list/buy/Sun-Court-E-E08087,https://www.midland.com.hk/en/list/rent/Sun-Court-E-E08087,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE08087_1.jpg,False,1979-09-30T16:00:00.000Z,,True,92.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.285916999999998,114.13217,,2.0,0.0,0.0,14527.0,0.0,0.0,14527.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08627,To LI Garden,桃李園,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-To-LI-Garden-E08627,https://www.midland.com.hk/en/list/buy/To-LI-Garden-E-E08627,https://www.midland.com.hk/en/list/rent/To-LI-Garden-E-E08627,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE08627_1.jpg,False,1977-05-12T16:00:00.000Z,,True,98.0,1.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.28279,114.13212,,2.0,0.0,0.0,13200.0,0.0,0.0,13200.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000000251,Kwan Yick Building Phase 2,均益大廈,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Kwan-Yick-Building-Phase-2-P000000251,https://www.midland.com.hk/en/list/buy/Kwan-Yick-Building-Phase-2-P-P000000251,https://www.midland.com.hk/en/list/rent/Kwan-Yick-Building-Phase-2-P-P000000251,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE000000496_3.jpg,False,1977-11-28T16:00:00.000Z,video,True,838.0,4.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.287565,114.137955,,0.0,0.0,0.0,9777.0,2.0,-2.72,10051.0,0.0,0.0,7900000.0,,,E000000496,Kwan Yick Building,,,,,,,,,,,,,,,,,,,,,,,
E00768,Cape Mansion,翠海別墅,https://www.midland.com.hk/en/estate/Hong-Kong-Island-Kennedy-Town-Cape-Mansion-E00768,https://www.midland.com.hk/en/list/buy/Cape-Mansion-E-E00768,https://www.midland.com.hk/en/list/rent/Cape-Mansion-E-E00768,https://wm-cdn.midland.com.hk/img_wm_revamp.php?wm=mr&src=http%3A%2F%2Fimg.midland.com.hk%2Fphoto_db%2Foutlook%2Festate%2FEE00768_4.jpg,False,1966-08-19T16:00:00.000Z,,True,79.0,2.0,11.0,10010001,Kennedy Town,10,Hong Kong Island,1001,Central And Western,100102,Hong Kong West,100102-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,22.273395999999998,114.120684,,2.0,1.0,0.0,20504.0,1.0,8.7,18864.0,0.0,0.0,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
