id,region_id,region_name,subregion_id,subregion,district_id,district,sm_district_id,sm_district,combined_district_id,combined_district,int_district_id,int_district,int_sm_district_id,int_sm_district,estate_id,estate,building_id,building,building_first_op_date,unit,floor,floor_level,floor_level_id,flat,area,net_area,price,tags,tx_date,tx_type,last_tx_date,holding_period,last_price,mkt_type,source,original_source,update_date,gain,transaction_type,url_desc,location
NO2025021425021401250031,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12258,Scenic Rise,B000023038,Scenic Rise,1999-03-23T16:00:00.000Z,U001183355,11,Lower Floor,L,D,941,676,13800000,['LANDREG'],2025-02-13T16:00:00.000Z,S,2017-06-29T16:00:00.000Z,7.6,12600000,2,LANDREG,LANDREG,2025-02-16T23:09:52.000Z,9.52,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Scenic-Rise-NO2025021425021401250031,"{'lat': 22.280604999999998, 'lon': 114.15217}"
NO2025021425021401130042,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00443,Robinson Heights,B000002325,Block 2,1989-12-20T16:00:00.000Z,U000265813,3,Lower Floor,L,D,1290,1057,16200000,['LANDREG'],2025-02-13T16:00:00.000Z,S,2006-02-03T16:00:00.000Z,19,6880000,2,LANDREG,LANDREG,2025-02-16T23:09:52.000Z,135.47,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Robinson-Heights-NO2025021425021401130042,"{'lat': 22.279196, 'lon': 114.153483}"
I20250100626,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12835,80 Robinson Road,B000031079,Block 2,2001-08-24T16:00:00.000Z,U001004182,,Higher Floor,H,B,0,1052,62000,['MIDLAND'],2025-02-12T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-12T23:09:12.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-80-Robinson-Road-I20250100626,"{'lat': 22.283151999999998, 'lon': 114.1469}"
NO2025021325021301620017,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000025895,Block 5,2001-12-10T16:00:00.000Z,U000953077,16,Lower Floor,L,D,1409,1113,20500000,['LANDREG'],2025-02-12T16:00:00.000Z,S,2010-12-13T16:00:00.000Z,14.2,15800000,2,LANDREG,LANDREG,2025-02-13T23:58:09.000Z,29.75,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-NO2025021325021301620017,"{'lat': 22.2850555, 'lon': 114.1336435}"
NO2025021325021301780033,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00121,Realty Gardens,B000003185,Venice Court,1972-08-03T16:00:00.000Z,U000815735,5,Lower Floor,L,B,0,1166,17688888,['LANDREG'],2025-02-12T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-13T23:58:09.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Realty-Gardens-NO2025021325021301780033,"{'lat': 22.281989, 'lon': 114.145235}"
NO2025021325021301360078,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E02544,Dragonview Court,B000003340,Dragonview Court,1989-12-13T16:00:00.000Z,U000339558,16,Middle Floor,M,A,1622,1216,22000000,['LANDREG'],2025-02-12T16:00:00.000Z,S,2020-11-26T16:00:00.000Z,4.2,27000000,2,LANDREG,LANDREG,2025-02-14T11:06:38.000Z,-18.52,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Dragonview-Court-NO2025021325021301360078,"{'lat': 22.282152, 'lon': 114.14356}"
NO2025021225021201640018,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E02723,Excelsior Court,B000002346,Excelsior Court,1989-01-29T16:00:00.000Z,U000267481,27,Higher Floor,H,F,904,772,10880000,['LANDREG'],2025-02-11T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-13T03:09:22.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Excelsior-Court-NO2025021225021201640018,"{'lat': 22.281363, 'lon': 114.148674}"
I20250101469,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03394,Good View Court,B000002414,Good View Court,1984-10-23T16:00:00.000Z,U000270019,,Higher Floor,H,B,0,360,15800,['MIDLAND'],2025-02-09T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Good-View-Court-I20250101469,"{'lat': 22.279201999999998, 'lon': 114.15228}"
I20250101377,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000007367,The Icon,B000067979,The Icon,2010-11-11T16:00:00.000Z,U001872304,,Middle Floor,M,C,781,513,25000,['MIDLAND'],2025-02-09T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-15T07:04:56.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-The-Icon-I20250101377,"{'lat': 22.2804025, 'lon': 114.1497034}"
NO2025021025021001180021,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000013408,3 Prince's Terrace,B000051517,3 Prince's Terrace,1976-11-10T16:00:00.000Z,U001946992,4,Middle Floor,M,,0,626,7750000,['LANDREG'],2025-02-09T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-11T03:09:41.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-3-Prince-s-Terrace-NO2025021025021001180021,"{'lat': 22.280894999999997, 'lon': 114.152016}"
I20250100771,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03394,Good View Court,B000002414,Good View Court,1984-10-23T16:00:00.000Z,U000270003,,Lower Floor,L,B,513,360,16800,['MIDLAND'],2025-02-09T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Good-View-Court-I20250100771,"{'lat': 22.279201999999998, 'lon': 114.15228}"
I20250200725,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000025897,Block 8,2001-12-10T16:00:00.000Z,U000953859,,Lower Floor,L,E,0,1126,48000,['MIDLAND'],2025-02-09T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-10T07:07:44.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20250200725,"{'lat': 22.2858235, 'lon': 114.1332065}"
I20250101464,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000017710,Block 2,2000-12-28T16:00:00.000Z,U000857124,,Higher Floor,H,B,852,667,33000,['MIDLAND'],2025-02-07T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T04:09:31.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20250101464,"{'lat': 22.2846384, 'lon': 114.1329956}"
NO2025020725020700960037,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00646,Blessings Garden,B000002210,Blessings Garden,1995-07-06T16:00:00.000Z,U000258961,2,Lower Floor,L,C,1106,854,12400000,['LANDREG'],2025-02-06T16:00:00.000Z,S,1999-03-05T16:00:00.000Z,25.9,6020000,2,LANDREG,LANDREG,2025-02-10T03:13:17.000Z,105.98,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Blessings-Garden-NO2025020725020700960037,"{'lat': 22.281558999999998, 'lon': 114.14834}"
I20250101568,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E11857,Bella Vista,B000051917,Bella Vista,2000-05-05T16:00:00.000Z,U001653268,21,Middle Floor,M,D,0,450,8380000,['LANDREG'],2025-02-06T16:00:00.000Z,S,2014-11-03T16:00:00.000Z,10.3,8080000,2,LANDREG,MIDLAND,2025-02-10T03:13:17.000Z,3.71,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Bella-Vista-I20250101568,"{'lat': 22.281496, 'lon': 114.151089}"
I20250101785,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00116,Vantage Park,B000002465,Block 1,1994-06-06T16:00:00.000Z,U000271728,,Higher Floor,H,B,0,692,32000,['MIDLAND'],2025-02-06T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-11T03:04:37.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Vantage-Park-I20250101785,"{'lat': 22.279377999999998, 'lon': 114.15071}"
NO2025020625020600570045,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E09491,Windsor Court,B000005047,Windsor Court,1993-12-30T16:00:00.000Z,U001396846,18,Higher Floor,H,D,462,335,5500000,['LANDREG'],2025-02-05T16:00:00.000Z,S,2010-12-28T16:00:00.000Z,14.1,3780000,2,LANDREG,LANDREG,2025-02-06T23:19:40.000Z,45.5,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Windsor-Court-NO2025020625020600570045,"{'lat': 22.282265, 'lon': 114.150215}"
NO2025020625020601450045,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00116,Vantage Park,B000002465,Block 1,1994-06-06T16:00:00.000Z,U000271684,5,Lower Floor,L,B,900,695,11000000,['LANDREG'],2025-02-05T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-06T23:19:40.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Vantage-Park-NO2025020625020601450045,"{'lat': 22.279377999999998, 'lon': 114.15071}"
NO2025020525020501220016,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12258,Scenic Rise,B000023038,Scenic Rise,1999-03-23T16:00:00.000Z,U001183335,26,Higher Floor,H,C,686,501,8800000,['LANDREG'],2025-02-04T16:00:00.000Z,S,2012-06-26T16:00:00.000Z,12.6,8050000,2,LANDREG,LANDREG,2025-02-05T23:08:09.000Z,9.32,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Scenic-Rise-NO2025020525020501220016,"{'lat': 22.280604999999998, 'lon': 114.15217}"
I20250101391,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E02643,Emerald Garden,B000002342,Emerald Garden,1974-12-30T16:00:00.000Z,U000266655,5,Lower Floor,L,B,1160,971,13000000,['LANDREG'],2025-02-04T16:00:00.000Z,S,,,,2,LANDREG,MIDLAND,2025-02-06T11:05:22.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Emerald-Garden-I20250101391,"{'lat': 22.279013, 'lon': 114.13168999999999}"
NO2025020525020500630014,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000006140,Soho 38,B000051872,Soho 38,2008-08-27T16:00:00.000Z,U001727472,17,Middle Floor,M,B,400,269,5250000,['LANDREG'],2025-02-04T16:00:00.000Z,S,2025-01-09T16:00:00.000Z,< 1,5250000,2,LANDREG,LANDREG,2025-02-05T23:08:09.000Z,0,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Soho-38-NO2025020525020500630014,"{'lat': 22.280077, 'lon': 114.15127}"
I20250101025,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E02380,Conduit Tower,B000003904,Conduit Tower,1992-07-29T16:00:00.000Z,U000382351,,Higher Floor,H,B,732,567,31000,['MIDLAND'],2025-02-04T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Conduit-Tower-I20250101025,"{'lat': 22.27903, 'lon': 114.15088}"
NO2025020425020401270014,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00794,Imperial Court,B000002524,Block C,1996-02-07T16:00:00.000Z,U000821140,25,Middle Floor,M,2,1531,1196,18450000,['LANDREG'],2025-02-03T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-11T15:06:50.000Z,,INT,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Imperial-Court-NO2025020425020401270014,"{'lat': 22.282393, 'lon': 114.14479}"
NO2025020325020300490255,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12835,80 Robinson Road,B000031078,Block 1,2001-08-24T16:00:00.000Z,U001003954,16,Lower Floor,L,C,1136,841,17198000,['LANDREG'],2025-02-02T16:00:00.000Z,S,2020-12-23T16:00:00.000Z,4.1,21000000,2,LANDREG,LANDREG,2025-02-03T23:05:54.000Z,-18.1,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-80-Robinson-Road-NO2025020325020300490255,"{'lat': 22.28344, 'lon': 114.146736}"
I20250101522,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07251,Primrose Court,B000002262,Primrose Court,1993-11-29T16:00:00.000Z,U000261695,,Middle Floor,M,D,616,504,24500,['MIDLAND'],2025-02-02T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T07:08:10.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Primrose-Court-I20250101522,"{'lat': 22.281708, 'lon': 114.147511}"
I20241201738,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000016918,68-70 Conduit Road,B000003540,Kiu Sen Court,1966-05-27T16:00:00.000Z,U000792559,,Middle Floor,M,B,1200,894,27000,['MIDLAND'],2025-02-02T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-02T23:10:58.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-68-70-Conduit-Road-I20241201738,"{'lat': 22.281633, 'lon': 114.143524}"
NO2025020325020300720011,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E01066,Pearl Gardens,B000002217,Block CD,1974-10-09T16:00:00.000Z,U000259566,11,Middle Floor,M,C,0,1896,30500000,['LANDREG'],2025-02-02T16:00:00.000Z,S,2015-03-17T16:00:00.000Z,9.9,34480000,2,LANDREG,LANDREG,2025-02-04T03:07:06.000Z,-11.54,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Pearl-Gardens-NO2025020325020300720011,"{'lat': 22.278188999999998, 'lon': 114.150276}"
NO2025012825012801110012,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12258,Scenic Rise,B000023038,Scenic Rise,1999-03-23T16:00:00.000Z,U001183295,21,Middle Floor,M,B,680,490,10000000,['LANDREG'],2025-01-27T16:00:00.000Z,S,2004-12-17T16:00:00.000Z,20.1,4180000,2,LANDREG,LANDREG,2025-02-03T03:07:46.000Z,139.23,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Scenic-Rise-NO2025012825012801110012,"{'lat': 22.280604999999998, 'lon': 114.15217}"
NO2025012725012700680017,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06969,Peace Tower,B000002279,Peace Tower,1980-07-22T16:00:00.000Z,U000911863,20,Higher Floor,H,,1074,763,12000000,['LANDREG'],2025-01-26T16:00:00.000Z,S,2015-11-04T16:00:00.000Z,9.2,11880000,2,LANDREG,LANDREG,2025-01-27T23:10:24.000Z,1.01,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Peace-Tower-NO2025012725012700680017,"{'lat': 22.279358, 'lon': 114.151771}"
I20250101250,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06294,Midland Court,B000002536,Midland Court,1990-06-20T16:00:00.000Z,U000273771,,Lower Floor,L,D,0,329,16000,['MIDLAND'],2025-01-23T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Midland-Court-I20250101250,"{'lat': 22.281295999999998, 'lon': 114.15182}"
NO2025012425012401190041,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03374,Goldwin Heights,B000002413,Goldwin Heights,1994-07-03T16:00:00.000Z,U000269925,33,,,A,1000,763,12500000,['LANDREG'],2025-01-23T16:00:00.000Z,S,2010-09-14T16:00:00.000Z,14.4,9000000,2,LANDREG,LANDREG,2025-01-26T23:12:20.000Z,38.89,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Goldwin-Heights-NO2025012425012401190041,"{'lat': 22.281654, 'lon': 114.15001}"
NO2025012225012201670024,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000008241,Azura,B000070231,Azura,2012-09-04T16:00:00.000Z,U001926390,39,Higher Floor,H,C,1679,1308,43000000,['LANDREG'],2025-01-21T16:00:00.000Z,S,2011-06-15T16:00:00.000Z,13.6,43498000,2,LANDREG,LANDREG,2025-01-23T07:07:08.000Z,-1.14,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Azura-NO2025012225012201670024,"{'lat': 22.282071, 'lon': 114.149761}"
I20241201243,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000015562,The Morgan,B000081414,The Morgan,2016-09-11T16:00:00.000Z,U002526596,11,Lower Floor,L,B,0,1304,36500000,['LANDREG'],2025-01-21T16:00:00.000Z,S,2016-09-19T16:00:00.000Z,8.3,38801000,2,LANDREG,MIDLAND,2025-01-22T23:11:01.000Z,-5.93,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-The-Morgan-I20241201243,"{'lat': 22.280186, 'lon': 114.14889}"
NO2025012125012100970012,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E12835,80 Robinson Road,B000031078,Block 1,2001-08-24T16:00:00.000Z,U001003994,31,Middle Floor,M,B,1409,1052,26050000,['LANDREG'],2025-01-20T16:00:00.000Z,S,2009-07-19T16:00:00.000Z,15.5,17500000,2,LANDREG,LANDREG,2025-01-22T11:06:01.000Z,48.86,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-80-Robinson-Road-NO2025012125012100970012,"{'lat': 22.28344, 'lon': 114.146736}"
NO2025012125012102050014,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00115,The Grand Panorama,B000002606,Block 3,1995-02-06T16:00:00.000Z,U000748230,14,Middle Floor,M,D,1295,1014,17000000,['LANDREG'],2025-01-20T16:00:00.000Z,S,1996-10-23T16:00:00.000Z,28.3,8800000,2,LANDREG,LANDREG,2025-01-21T23:12:42.000Z,93.18,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-The-Grand-Panorama-NO2025012125012102050014,"{'lat': 22.279429999999998, 'lon': 114.15253799999999}"
I20241201788,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000017711,Block 3,2000-12-28T16:00:00.000Z,U000857479,18,Lower Floor,L,B,852,663,13200000,['LANDREG'],2025-01-20T16:00:00.000Z,S,2020-04-08T16:00:00.000Z,4.8,15500000,2,LANDREG,MIDLAND,2025-01-21T23:12:42.000Z,-14.84,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20241201788,"{'lat': 22.284713999999997, 'lon': 114.133842}"
NO2025012125012101850011,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000015441,Cluny Park,B000080610,Cluny Park,2015-06-29T16:00:00.000Z,U002485163,6,Lower Floor,L,C,0,1182,31500000,['LANDREG'],2025-01-20T16:00:00.000Z,S,,,,2,LANDREG,LANDREG,2025-02-04T11:05:52.000Z,,INT,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Cluny-Park-NO2025012125012101850011,"{'lat': 22.280877999999998, 'lon': 114.141205}"
I20250101726,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000016947,18 Mosque Street,B000091932,18 Mosque Street,2019-10-17T16:00:00.000Z,U002903489,,Higher Floor,H,A,0,375,24500,['MIDLAND'],2025-01-20T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-18-Mosque-Street-I20250101726,"{'lat': 22.27995, 'lon': 114.15183}"
F20250100107,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E01481,Beaudry Tower,B000002256,Beaudry Tower,1989-10-26T16:00:00.000Z,U000261455,,Middle Floor,M,A,0,498,20500,['HKP'],2025-01-20T16:00:00.000Z,L,,,,2,HKP,HKP,2025-02-10T11:06:43.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Beaudry-Tower-F20250100107,"{'lat': 22.284716, 'lon': 114.145775}"
I20250101388,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E08186,Sung Ling Mansion,B000002599,Block C,1958-08-17T16:00:00.000Z,U000284787,,Lower Floor,L,C,0,860,25000,['MIDLAND'],2025-01-19T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-02-10T11:06:42.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Sung-Ling-Mansion-I20250101388,"{'lat': 22.283915999999998, 'lon': 114.14225}"
NO2025012025012001350016,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04195,Hoover Mansion,B000051155,Block D,1964-11-09T16:00:00.000Z,U001262322,13,,,,1600,1329,20300000,['LANDREG'],2025-01-19T16:00:00.000Z,S,2004-08-01T16:00:00.000Z,20.5,4150000,2,LANDREG,LANDREG,2025-01-20T23:12:47.000Z,389.16,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Hoover-Mansion-NO2025012025012001350016,"{'lat': 22.283527, 'lon': 114.142641}"
I20241201326,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00655,Peaksville,B000002276,Block 1,1993-01-11T16:00:00.000Z,U000262169,8,Middle Floor,M,B,808,652,9380000,['LANDREG'],2025-01-19T16:00:00.000Z,S,2016-05-29T16:00:00.000Z,8.6,10000000,2,LANDREG,MIDLAND,2025-01-20T23:12:47.000Z,-6.2,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Peaksville-I20241201326,"{'lat': 22.2823, 'lon': 114.14767499999999}"
