id,region_id,region_name,subregion_id,subregion,district_id,district,sm_district_id,sm_district,combined_district_id,combined_district,int_district_id,int_district,int_sm_district_id,int_sm_district,estate_id,estate,building_id,building,building_first_op_date,unit,floor,floor_level,floor_level_id,flat,area,net_area,price,tags,tx_date,tx_type,last_tx_date,holding_period,last_price,mkt_type,source,original_source,update_date,gain,transaction_type,url_desc,location
NO2025032625032602040047,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990240,7,Middle Floor,M,A,0,1431,27189000,"['LANDREG', 'FIRSTHAND']",2025-03-25T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-27T03:14:20.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032625032602040047,"{'lat': 22.267429999999997, 'lon': 114.13286}"
NO2025032625032601910158,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04436,Jing Tai Garden Mansion,B000002443,Jing Tai Garden Mansion,1978-04-17T16:00:00.000Z,U000819982,8,Lower Floor,L,A,0,779,8680000,['LANDREG'],2025-03-25T16:00:00.000Z,S,2004-11-14T16:00:00.000Z,20.4,2950000,2,LANDREG,LANDREG,2025-03-26T23:14:50.000Z,194.24,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jing-Tai-Garden-Mansion-NO2025032625032601910158,"{'lat': 22.278914999999998, 'lon': 114.15180000000001}"
NO2025032625032600150046,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990247,10,Higher Floor,H,B,0,1358,25802000,"['LANDREG', 'FIRSTHAND']",2025-03-25T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-27T03:14:20.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032625032600150046,"{'lat': 22.267429999999997, 'lon': 114.13286}"
NO2025032525032500090099,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06948,Parksdale,B000003747,Parksdale,1994-03-28T16:00:00.000Z,U001691050,23,,,A,0,322,6230000,['LANDREG'],2025-03-24T16:00:00.000Z,S,2018-01-04T16:00:00.000Z,7.2,7680000,2,LANDREG,LANDREG,2025-03-25T23:50:22.000Z,-18.88,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Parksdale-NO2025032525032500090099,"{'lat': 22.28399, 'lon': 114.14397}"
I20250201415,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07251,Primrose Court,B000002262,Primrose Court,1993-11-29T16:00:00.000Z,U000261637,,Middle Floor,M,A,835,686,29500,['MIDLAND'],2025-03-24T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-24T23:12:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Primrose-Court-I20250201415,"{'lat': 22.281708, 'lon': 114.147511}"
NO2025032525032500240149,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990228,1,Lower Floor,L,A,0,1431,24327000,"['LANDREG', 'FIRSTHAND']",2025-03-24T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-26T03:10:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032525032500240149,"{'lat': 22.267429999999997, 'lon': 114.13286}"
I20250202031,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E11167,Cimbria Court,B000002293,Cimbria Court,1997-03-26T16:00:00.000Z,U000809484,,Higher Floor,H,A,732,496,28000,['MIDLAND'],2025-03-24T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-24T23:12:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Cimbria-Court-I20250202031,"{'lat': 22.279246999999998, 'lon': 114.150566}"
F20250100109,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00121,Realty Gardens,B000002468,Vienna Court,1972-08-03T16:00:00.000Z,U000815808,,Lower Floor,L,B,0,1166,45000,['HKP'],2025-03-24T16:00:00.000Z,L,,,,2,HKP,HKP,2025-03-24T23:12:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Realty-Gardens-F20250100109,"{'lat': 22.281969999999998, 'lon': 114.145714}"
I20250301326,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E00116,Vantage Park,B000002467,Block 2,1994-06-06T16:00:00.000Z,U000271893,,Middle Floor,M,D,558,437,23500,['MIDLAND'],2025-03-24T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-28T07:06:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Vantage-Park-I20250301326,"{'lat': 22.279541, 'lon': 114.150502}"
NO2025032425032401130025,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990245,9,Middle Floor,M,B,0,1358,24800000,"['LANDREG', 'FIRSTHAND']",2025-03-23T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-25T11:08:43.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032425032401130025,"{'lat': 22.267429999999997, 'lon': 114.13286}"
